instance,seed,arm,feasible,makespan,makespan_ref,wall_ms,res_frac,past_changed,past_total,release_size,alive_size,delta,esc_rounds,esc_wall_ms,k,jobs,machines,n_res,n_live,closure,closure_frac,n_nodes,n_corridors
S18x9x9,1,R2,True,187.0,127.0,7.194,0.377,0,125,179,225,,,,9,18,9,350,225,179,0.796,16,17
S18x9x9,1,RS,True,201.0,127.0,7.268,0.643,0,125,,225,74.0,,,9,18,9,350,225,179,0.796,16,17
S18x9x9,1,RD,True,165.0,127.0,26.053,0.6,0,125,,225,,,,9,18,9,350,225,179,0.796,16,17
S18x9x9,777,R2,True,126.0,123.0,7.899,0.269,0,128,155,222,,,,9,18,9,350,222,155,0.698,16,17
S18x9x9,777,RS,True,196.0,123.0,3.051,0.634,0,128,,222,73.0,,,9,18,9,350,222,155,0.698,16,17
S18x9x9,777,RD,True,126.0,123.0,21.316,0.631,2,128,,222,,,,9,18,9,350,222,155,0.698,16,17
S18x9x9,31415,R2,True,126.0,117.0,7.732,0.461,0,123,208,224,,,,9,18,9,347,224,208,0.929,16,17
S18x9x9,31415,RS,True,194.0,117.0,3.62,0.646,0,123,,224,77.0,,,9,18,9,347,224,208,0.929,16,17
S18x9x9,31415,RD,True,117.94999999999999,117.0,26.707,0.648,0,123,,224,,,,9,18,9,347,224,208,0.929,16,17
S18x9x9,8,R2,True,120.0,117.0,7.478,0.287,0,137,198,226,,,,9,18,9,363,226,198,0.876,16,17
S18x9x9,8,RS,True,190.0,117.0,4.054,0.623,0,137,,226,73.0,,,9,18,9,363,226,198,0.876,16,17
S18x9x9,8,RD,True,123.0,117.0,27.311,0.565,2,137,,226,,,,9,18,9,363,226,198,0.876,16,17
S20x10x10,42,R2,True,132.0,134.0,13.469,0.238,0,164,179,243,,,,10,20,10,407,243,179,0.737,17,18
S20x10x10,42,RS,True,219.0,134.0,4.39,0.597,0,164,,243,85.0,,,10,20,10,407,243,179,0.737,17,18
S20x10x10,42,RD,True,140.9,134.0,38.306,0.6,2,164,,243,,,,10,20,10,407,243,179,0.737,17,18
S20x10x10,7,R2,True,131.0,129.0,10.286,0.231,0,147,193,247,,,,10,20,10,394,247,193,0.781,17,18
S20x10x10,7,RS,True,212.0,129.0,5.561,0.627,0,147,,247,83.0,,,10,20,10,394,247,193,0.781,17,18
S20x10x10,7,RD,True,130.15,129.0,30.919,0.624,3,147,,247,,,,10,20,10,394,247,193,0.781,17,18
S20x10x10,2024,R2,True,133.0,131.0,10.486,0.506,0,152,226,255,,,,10,20,10,407,255,226,0.886,17,18
S20x10x10,2024,RS,True,217.0,131.0,3.634,0.627,0,152,,255,86.0,,,10,20,10,407,255,226,0.886,17,18
